observable,time,time_units,average,stderr,amount_units,expt_id
pct_flavinylation,0,min,5,5,percent,+AF2
pct_flavinylation,.2,min,39,5,percent,+AF2
pct_flavinylation,.5,min,50,5,percent,+AF2
pct_flavinylation,.7,min,62,5,percent,+AF2
pct_flavinylation,.8,min,78,5,percent,+AF2
pct_flavinylation,1,min,68,5,percent,+AF2
pct_flavinylation,2,min,90,5,percent,+AF2
pct_flavinylation,5,min,97,5,percent,+AF2
pct_flavinylation,13,min,100,5,percent,+AF2
pct_flavinylation,23,min,100,5,percent,+AF2
pct_flavinylation,0,min,1,5,percent,-AF2
pct_flavinylation,2,min,5,5,percent,-AF2
pct_flavinylation,5,min,35,5,percent,-AF2
pct_flavinylation,10,min,60,5,percent,-AF2
pct_flavinylation,15,min,75,5,percent,-AF2
pct_flavinylation,25,min,90,5,percent,-AF2
pct_flavinylation,80,min,99,5,percent,-AF2
