observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
pct_flavinylation,60,min,2.872928177,1.786277076,percent,fad_wAF2,fad_wAF2_0_uM
pct_flavinylation,60,min,21.87845304,1.658685856,percent,fad_wAF2,fad_wAF2_1_uM
pct_flavinylation,60,min,40,1.275912197,percent,fad_wAF2,fad_wAF2_2_uM
pct_flavinylation,60,min,80,3.444962932,percent,fad_wAF2,fad_wAF2_4_uM
pct_flavinylation,60,min,96.13259669,2.551824394,percent,fad_wAF2,fad_wAF2_6_uM
pct_flavinylation,60,min,100.3314917,4.21051025,percent,fad_wAF2,fad_wAF2_20_uM
pct_flavinylation,60,min,97.67955801,1.913868296,percent,fad_wAF2,fad_wAF2_40_uM
pct_flavinylation,60,min,98.12154696,3.700145372,percent,fad_wAF2,fad_wAF2_100_uM
pct_flavinylation,60,min,2.872928177,1.786277076,percent,fad_noAF2,fad_noAF2_0_uM
pct_flavinylation,60,min,13.70165746,3.444962932,percent,fad_noAF2,fad_noAF2_5_uM
pct_flavinylation,60,min,24.30939227,4.46569269,percent,fad_noAF2,fad_noAF2_10_uM
pct_flavinylation,60,min,45.3038674,7.017517084,percent,fad_noAF2,fad_noAF2_20_uM
pct_flavinylation,60,min,74.6961326,2.296641955,percent,fad_noAF2,fad_noAF2_40_uM
pct_flavinylation,60,min,89.94475138,5.358831228,percent,fad_noAF2,fad_noAF2_60_uM
pct_flavinylation,60,min,91.93370166,4.46569269,percent,fad_noAF2,fad_noAF2_100_uM
