observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
pct_flavinylation,60,min,4.429530201,1.627430289,percent,fum_wAF2,fum_wAF2_0_mM
pct_flavinylation,60,min,102.4832215,2.092410372,percent,fum_wAF2,fum_wAF2_0.00625_mM
pct_flavinylation,60,min,96.04026846,1.976165351,percent,fum_wAF2,fum_wAF2_0.0125_mM
pct_flavinylation,60,min,101.2751678,1.976165351,percent,fum_wAF2,fum_wAF2_0.025_mM
pct_flavinylation,60,min,100.4697987,4.301065764,percent,fum_wAF2,fum_wAF2_0.05_mM
pct_flavinylation,60,min,98.25503356,5.696006011,percent,fum_wAF2,fum_wAF2_0.1_mM
pct_flavinylation,60,min,100.0671141,3.371105599,percent,fum_wAF2,fum_wAF2_0.25_mM
pct_flavinylation,60,min,101.4765101,3.836085681,percent,fum_wAF2,fum_wAF2_1_mM
pct_flavinylation,60,min,3.22147651,2.673635475,percent,fum_noAF2,fum_noAF2_0_mM
pct_flavinylation,60,min,17.31543624,2.208655392,percent,fum_noAF2,fum_noAF2_0.05_mM
pct_flavinylation,60,min,36.84563758,5.46351597,percent,fum_noAF2,fum_noAF2_0.1_mM
pct_flavinylation,60,min,66.6442953,6.393476135,percent,fum_noAF2,fum_noAF2_0.25_mM
pct_flavinylation,60,min,82.95302013,2.673635475,percent,fum_noAF2,fum_noAF2_0.5_mM
pct_flavinylation,60,min,88.99328859,3.836085681,percent,fum_noAF2,fum_noAF2_1_mM
