observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
pct_flavinylation,60,min,4.429530201,1.627430289,percent,fum_wAF2,fum_wAF2_0_mM
pct_flavinylation,60,min,102.4832215,2.092410372,percent,fum_wAF2,fum_wAF2_0.00625_mM
pct_flavinylation,60,min,96.04026846,1.976165351,percent,fum_wAF2,fum_wAF2_0.0125_mM
pct_flavinylation,60,min,101.2751678,1.976165351,percent,fum_wAF2,fum_wAF2_0.025_mM
pct_flavinylation,60,min,100.4697987,4.301065764,percent,fum_wAF2,fum_wAF2_0.05_mM
pct_flavinylation,60,min,98.25503356,5.696006011,percent,fum_wAF2,fum_wAF2_0.1_mM
pct_flavinylation,60,min,100.0671141,3.371105599,percent,fum_wAF2,fum_wAF2_0.25_mM
pct_flavinylation,60,min,101.4765101,3.836085681,percent,fum_wAF2,fum_wAF2_1_mM
pct_flavinylation,60,min,3.22147651,2.673635475,percent,fum_noAF2,fum_noAF2_0_mM
pct_flavinylation,60,min,17.31543624,2.208655392,percent,fum_noAF2,fum_noAF2_0.05_mM
pct_flavinylation,60,min,36.84563758,5.46351597,percent,fum_noAF2,fum_noAF2_0.1_mM
pct_flavinylation,60,min,66.6442953,6.393476135,percent,fum_noAF2,fum_noAF2_0.25_mM
pct_flavinylation,60,min,82.95302013,2.673635475,percent,fum_noAF2,fum_noAF2_0.5_mM
pct_flavinylation,60,min,88.99328859,3.836085681,percent,fum_noAF2,fum_noAF2_1_mM
pct_flavinylation,60,min,2.872928177,1.786277076,percent,fad_wAF2,fad_wAF2_0_uM
pct_flavinylation,60,min,21.87845304,1.658685856,percent,fad_wAF2,fad_wAF2_1_uM
pct_flavinylation,60,min,40,1.275912197,percent,fad_wAF2,fad_wAF2_2_uM
pct_flavinylation,60,min,80,3.444962932,percent,fad_wAF2,fad_wAF2_4_uM
pct_flavinylation,60,min,96.13259669,2.551824394,percent,fad_wAF2,fad_wAF2_6_uM
pct_flavinylation,60,min,100.3314917,4.21051025,percent,fad_wAF2,fad_wAF2_20_uM
pct_flavinylation,60,min,97.67955801,1.913868296,percent,fad_wAF2,fad_wAF2_40_uM
pct_flavinylation,60,min,98.12154696,3.700145372,percent,fad_wAF2,fad_wAF2_100_uM
pct_flavinylation,60,min,2.872928177,1.786277076,percent,fad_noAF2,fad_noAF2_0_uM
pct_flavinylation,60,min,13.70165746,3.444962932,percent,fad_noAF2,fad_noAF2_5_uM
pct_flavinylation,60,min,24.30939227,4.46569269,percent,fad_noAF2,fad_noAF2_10_uM
pct_flavinylation,60,min,45.3038674,7.017517084,percent,fad_noAF2,fad_noAF2_20_uM
pct_flavinylation,60,min,74.6961326,2.296641955,percent,fad_noAF2,fad_noAF2_40_uM
pct_flavinylation,60,min,89.94475138,5.358831228,percent,fad_noAF2,fad_noAF2_60_uM
pct_flavinylation,60,min,91.93370166,4.46569269,percent,fad_noAF2,fad_noAF2_100_uM
