observable,time,time_units,average,stderr,amount_units,expt_id,alt_expt_id
pct_flavinylation,0,min,4.63319221,1.069989908,percent,time_wAF2,time_wAF2
pct_flavinylation,0.2,min,39.38052504,1.337115861,percent,time_wAF2,time_wAF2
pct_flavinylation,0.35,min,51.42553779,1.337487385,percent,time_wAF2,time_wAF2
pct_flavinylation,0.5,min,61.38561405,2.674231721,percent,time_wAF2,time_wAF2
pct_flavinylation,0.65,min,76.67418309,4.012090631,percent,time_wAF2,time_wAF2
pct_flavinylation,0.8,min,70.186427,3.477652963,percent,time_wAF2,time_wAF2
pct_flavinylation,2,min,91.02646121,5.082823587,percent,time_wAF2,time_wAF2
pct_flavinylation,5,min,96.79510726,4.681205847,percent,time_wAF2,time_wAF2
pct_flavinylation,13,min,103.6827979,3.343904225,percent,time_wAF2,time_wAF2
pct_flavinylation,23,min,101.5209633,2.942472247,percent,time_wAF2,time_wAF2
pct_flavinylation,0,min,1.657135354,2.869855516,percent,time_noAF2,time_noAF2
pct_flavinylation,2,min,7.794872368,1.776457404,percent,time_noAF2,time_noAF2
pct_flavinylation,5,min,33.57014944,4.646119364,percent,time_noAF2,time_noAF2
pct_flavinylation,10,min,61.69619185,1.503156265,percent,time_noAF2,time_noAF2
pct_flavinylation,15,min,76.56783343,5.875974489,percent,time_noAF2,time_noAF2
pct_flavinylation,25,min,89.74378602,1.366505695,percent,time_noAF2,time_noAF2
